app_name,created_at,cost_total,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,streamed,finish_reason_normalized,generation_time_ms,time_to_first_token_ms
OpenCode,2026-03-05 01:17:10.652,0.0016,43712,176,21,minimax/minimax-m2.5-20260211,Minimax,true,tool_calls,5088,2227
OpenCode,2026-03-05 01:16:53.478,0.001748,43429,281,16,minimax/minimax-m2.5-20260211,Minimax,true,tool_calls,16951,7666
OpenCode,2026-03-05 01:16:41.155,0.002062,43032,444,234,minimax/minimax-m2.5-20260211,Minimax,true,tool_calls,12079,3346
OpenCode,2026-03-05 01:16:26.785,0.002156,42152,590,528,minimax/minimax-m2.5-20260211,Minimax,true,tool_calls,14190,3346
OpenCode,2026-03-05 01:16:16.811,0.001836,41476,391,328,minimax/minimax-m2.5-20260211,Minimax,true,tool_calls,9825,1944
OpenCode,2026-03-05 01:16:08.015,0.001462,41025,80,17,minimax/minimax-m2.5-20260211,Minimax,true,tool_calls,8061,6431
OpenCode,2026-03-05 01:16:01.344,0.001691,40888,305,242,minimax/minimax-m2.5-20260211,Minimax,true,tool_calls,6433,1768
OpenCode,2026-03-05 01:15:55.753,0.001854,40526,109,45,minimax/minimax-m2.5-20260211,Minimax,true,tool_calls,5451,3870
OpenCode,2026-03-05 01:15:50.810,0.001462,39216,110,33,minimax/minimax-m2.5-20260211,Minimax,true,tool_calls,4744,2047
OpenCode,2026-03-05 01:15:45.617,0.001632,38647,121,32,minimax/minimax-m2.5-20260211,Minimax,true,tool_calls,4991,2679
OpenCode,2026-03-05 01:15:38.918,0.001563,37619,320,258,minimax/minimax-m2.5-20260211,Minimax,true,tool_calls,6560,1821
OpenCode,2026-03-05 01:15:31.329,0.00179,37436,250,186,minimax/minimax-m2.5-20260211,Minimax,true,tool_calls,7221,3626
OpenCode,2026-03-05 01:15:18.892,0.002172,36079,372,309,minimax/minimax-m2.5-20260211,Minimax,true,tool_calls,12297,5547
OpenCode,2026-03-05 01:15:14.764,0.001214,33942,108,26,minimax/minimax-m2.5-20260211,Minimax,true,tool_calls,3991,2239
OpenCode,2026-03-05 01:15:01.169,0.001709,33698,279,243,minimax/minimax-m2.5-20260211,Minimax,true,tool_calls,13345,8101
